Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of lyase activity (GO:0051350)	2/16	0.0007772736651313045	0.006754508149991	0	0	56.95428571428572	407.77662815003015	GRM3;GRM2
GO_Biological_Process_2021	neuron projection organization (GO:0106027)	2/16	0.0007772736651313045	0.006754508149991	0	0	56.95428571428572	407.77662815003015	APP;PRNP
GO_Biological_Process_2021	protein tetramerization (GO:0051262)	3/71	0.0008363582502382255	0.0071959932619506	0	0	17.899159663865547	126.841562784503	HOMER1;GRIN2B;GRIN1
GO_Biological_Process_2021	copper ion homeostasis (GO:0055070)	2/17	0.0008794460728881121	0.0072784632127597	0	0	53.15466666666666	374.0078389317888	APP;PRNP
GO_Biological_Process_2021	detection of visible light (GO:0009584)	2/17	0.0008794460728881121	0.0072784632127597	0	0	53.15466666666666	374.0078389317888	GRM6;GNAQ
GO_Biological_Process_2021	sulfation (GO:0051923)	2/17	0.0008794460728881121	0.0072784632127597	0	0	53.15466666666666	374.0078389317888	SULT1A4;SULT1A3
GO_Biological_Process_2021	protein heterooligomerization (GO:0051291)	2/17	0.0008794460728881121	0.0072784632127597	0	0	53.15466666666666	374.0078389317888	GRIN2B;GRIN1
GO_Biological_Process_2021	regulation of neuron projection development (GO:0010975)	4/165	0.0008883712054939732	0.0072829677129647	0	0	10.241718426501036	71.95955166421358	PTK2B;SHANK3;CX3CL1;CDK5R1
GO_Biological_Process_2021	positive regulation of JNK cascade (GO:0046330)	3/73	0.0009068018371887012	0.0073645868833362	0	0	17.38600583090379	121.79916970808009	APP;PTK2B;PLCB1
GO_Biological_Process_2021	amyloid precursor protein metabolic process (GO:0042982)	2/18	0.0009877327017010398	0.0078030883434382	0	0	49.83	344.82850534778163	CLN3;NCSTN
GO_Biological_Process_2021	neuron maturation (GO:0042551)	2/18	0.0009877327017010398	0.0078030883434382	0	0	49.83	344.82850534778163	APP;CX3CL1
GO_Biological_Process_2021	positive regulation of synaptic transmission, glutamatergic (GO:0051968)	2/18	0.0009877327017010398	0.0078030883434382	0	0	49.83	344.82850534778163	PTK2B;SHANK3
GO_Biological_Process_2021	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	4/172	0.0010366249858087	0.0081155595735836	0	0	9.811507936507937	67.42257354509002	NECAB2;APP;PTK2B;CX3CL1
GO_Biological_Process_2021	cation transport (GO:0006812)	4/174	0.0010819915389564	0.0083950950656533	0	0	9.695098039215686	66.20735835404435	TRPM1;CLN3;SLC1A1;GRIN1
GO_Biological_Process_2021	purine ribonucleoside bisphosphate metabolic process (GO:0034035)	2/19	0.0011021023027737	0.008475459301862	0	0	46.896470588235296	319.39008896603445	SULT1A4;SULT1A3
GO_Biological_Process_2021	MAPK cascade (GO:0000165)	5/303	0.0011207900238113	0.0085435660587021	0	0	7.014850778237898	47.65694229841304	FYN;SHANK3;GRIN2B;SULT1A3;GRIN1
GO_Biological_Process_2021	phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	3/81	0.0012258879862262	0.0092634492176574	0	0	15.596546310832023	104.56064720726754	GRM5;HOMER1;GRM1
GO_Biological_Process_2021	negative regulation of cytokine production (GO:0001818)	4/182	0.0012774704583524	0.0095700157612783	0	0	9.25561797752809	61.66901045957601	PRNP;HOMER2;HOMER3;CX3CL1
